time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,P_elec,Vt
0.0,0.0,0.0,-0.0004903315182636096,0.0,0.0,-0.09806610730603349,0.0,0.0,0.0,0.0,0.0,0.0,20.0,48.0
0.01,0.0,0.0,-0.0019593529859147506,0.0,0.0,-0.19573760034171112,0.0,0.0,0.0,0.0,0.0,0.0,20.00011285738403,48.0
0.02,0.0,0.0,-0.004401537588923856,0.0,0.0,-0.2926983533436397,0.0,0.0,0.0,0.0,0.0,0.0,20.000528770266722,48.0
0.03,0.0,0.0,-0.00780885255573227,0.0,0.0,-0.388763303448037,0.0,0.0,0.0,0.0,0.0,0.0,20.0012868632261,48.0
0.04,0.0,0.0,-0.012172328873700108,0.0,0.0,-0.483930264506975,0.0,0.0,0.0,0.0,0.0,0.0,20.002240629584794,48.0
0.05,0.0,0.0,-0.01748297598560078,0.0,0.0,-0.5781971136849035,0.0,0.0,0.0,0.0,0.0,0.0,20.003355895538956,48.0
0.06,0.0,0.0,-0.023731782420740612,0.0,0.0,-0.6715617910558221,0.0,0.0,0.0,0.0,0.0,0.0,20.00461195009857,48.0
0.07,0.0,0.0,-0.030909716421990675,0.0,0.0,-0.7640222991885908,0.0,0.0,0.0,0.0,0.0,0.0,20.00599448016253,48.0
0.08,0.0,0.0,-0.03900772656861347,0.0,0.0,-0.8555767027206318,0.0,0.0,0.0,0.0,0.0,0.0,20.007492822294893,48.0
0.09,0.0,0.0,-0.04801674239476967,0.0,0.0,-0.9462231279202848,0.0,0.0,0.0,0.0,0.0,0.0,20.009098631173757,48.0
0.1,0.0,0.0,-0.05792767500359275,0.0,0.0,-1.0359597622380692,0.0,0.0,0.0,0.0,0.0,0.0,20.010805143555324,48.0
0.11,0.0,0.0,-0.06873141767672183,0.0,0.0,-1.124784853847114,0.0,0.0,0.0,0.0,0.0,0.0,20.012606733317597,48.0
0.12,0.0,0.0,-0.08041884647918579,0.0,0.0,-1.2126967111730143,0.0,0.0,0.0,0.0,0.0,0.0,20.014498624322954,48.0
0.13,0.0,0.0,-0.09298082085953412,0.0,0.0,-1.2996937024133748,0.0,0.0,0.0,0.0,0.0,0.0,20.016476695638246,48.0
0.14,0.0,0.0,-0.10640818424511268,0.0,0.0,-1.3857742550472965,0.0,0.0,0.0,0.0,0.0,0.0,20.018537344081214,48.0
0.15,0.0,0.0,-0.12069176463238529,0.0,0.0,-1.4709368553350706,0.0,0.0,0.0,0.0,0.0,0.0,20.02067738405845,48.0
0.16,0.0,0.0,-0.13582237517220414,0.0,0.0,-1.5551800478083369,0.0,0.0,0.0,0.0,0.0,0.0,20.02289397260971,48.0
0.17,0.0,0.0,-0.1517908147499354,0.0,0.0,-1.6385024347509647,0.0,0.0,0.0,0.0,0.0,0.0,20.025184552042838,48.0
0.18,0.0,0.0,-0.16858786856034816,0.0,0.0,-1.7209026756709187,0.0,0.0,0.0,0.0,0.0,0.0,20.027546805181114,48.0
0.19,0.0,0.0,-0.18620430867717822,0.0,0.0,-1.8023794867633636,0.0,0.0,0.0,0.0,0.0,0.0,20.029978619866,48.0
0.2,0.0,0.0,-0.20463089461727998,0.0,0.0,-1.8829316403652694,0.0,0.0,0.0,0.0,0.0,0.0,20.0324780603901,48.0
0.21,0.0,0.0,-0.2238583738992831,0.0,0.0,-1.962557964401771,0.0,0.0,0.0,0.0,0.0,0.0,20.035043344211665,48.0
0.22,0.0,0.0,-0.24387748259667252,0.0,0.0,-2.041257341824539,0.0,0.0,0.0,0.0,0.0,0.0,20.037672822757603,48.0
0.23,0.0,0.0,-0.26467894588521346,0.0,0.0,-2.1190287100424183,0.0,0.0,0.0,0.0,0.0,0.0,20.04036496543565,48.0
0.24,0.0,0.0,-0.2862534785846449,0.0,0.0,-2.195871060344582,0.0,0.0,0.0,0.0,0.0,0.0,20.04311834619714,48.0
0.25,0.0,0.0,-0.3085917856945686,0.0,0.0,-2.271783437316462,0.0,0.0,0.0,0.0,0.0,0.0,20.04593163214979,48.0
0.26,0.0,0.0,-0.33168456292446197,0.0,0.0,-2.3467649382486977,0.0,0.0,0.0,0.0,0.0,0.0,20.04880357383508,48.0
0.27,0.0,0.0,-0.3555224972177469,0.0,0.0,-2.420814712539361,0.0,0.0,0.0,0.0,0.0,0.0,20.051732996869756,48.0
0.28,0.0,0.0,-0.3800962672698481,0.0,0.0,-2.493931961089694,0.0,0.0,0.0,0.0,0.0,0.0,20.05471879471486,48.0
0.29,0.0,0.0,-0.4053965440401772,0.0,0.0,-2.5661159356936185,0.0,0.0,0.0,0.0,0.0,0.0,20.057759922383866,48.0
0.3,0.0,0.0,-0.4314139912579824,0.0,0.0,-2.6373659384212487,0.0,0.0,0.0,0.0,0.0,0.0,20.06085539093876,48.0
0.31,0.0,0.0,-0.45813926592200355,0.0,0.0,-2.707681320996657,0.0,0.0,0.0,0.0,0.0,0.0,20.06400426265146,48.0
0.32,0.0,0.0,-0.48556301879387764,0.0,0.0,-2.777061484170129,0.0,0.0,0.0,0.0,0.0,0.0,20.067205646730656,48.0
0.33,0.0,0.0,-0.5136758948852402,0.0,0.0,-2.8455058770851487,0.0,0.0,0.0,0.0,0.0,0.0,20.070458695531837,48.0
0.34,0.0,0.0,-0.542468533938471,0.0,0.0,-2.9130139966403417,0.0,0.0,0.0,0.0,0.0,0.0,20.073762601182423,48.0
0.35000000000000003,0.0,0.0,-0.5719315709010354,0.0,0.0,-2.9795853868466198,0.0,0.0,0.0,0.0,0.0,0.0,20.077116592565318,48.0
0.36,0.0,0.0,-0.6020556363933731,0.0,0.0,-3.0452196381797476,0.0,0.0,0.0,0.0,0.0,0.0,20.080519932613395,48.0
0.37,0.0,0.0,-0.632831357170292,0.0,0.0,-3.109916386928567,0.0,0.0,0.0,0.0,0.0,0.0,20.083971915874834,48.0
0.38,0.0,0.0,-0.6642493565758225,0.0,0.0,-3.1736753145390986,0.0,0.0,0.0,0.0,0.0,0.0,20.08747186631547,48.0
0.39,0.0,0.0,-0.6963002549914935,0.0,0.0,-3.2364961469547464,0.0,0.0,0.0,0.0,0.0,0.0,20.091019135329248,48.0
0.4,0.0,0.0,-0.7289746702779919,0.0,0.0,-3.298378653952824,0.0,0.0,0.0,0.0,0.0,0.0,20.094613099932083,48.0
0.41000000000000003,0.0,0.0,-0.7622632182101696,0.0,0.0,-3.35932264847762,0.0,0.0,0.0,0.0,0.0,0.0,20.09825316111804,48.0
0.42,0.0,0.0,-0.7961565129053655,0.0,0.0,-3.419327985970217,0.0,0.0,0.0,0.0,0.0,0.0,20.101938742359444,48.0
0.43,0.0,0.0,-0.830645167245009,0.0,0.0,-3.4783945636952733,0.0,0.0,0.0,0.0,0.0,0.0,20.105669288235152,48.0
0.44,0.0,0.0,-0.8657197932894786,0.0,0.0,-3.536522320064978,0.0,0.0,0.0,0.0,0.0,0.0,20.10944426317325,48.0
0.45,0.0,0.0,-0.9013710026861853,0.0,0.0,-3.5937112339603816,0.0,0.0,0.0,0.0,0.0,0.0,20.11326315029617,48.0
0.46,0.0,0.0,-0.9375894070708582,0.0,0.0,-3.649961324050309,0.0,0.0,0.0,0.0,0.0,0.0,20.117125450357765,48.0
0.47000000000000003,0.0,0.0,-0.9743656184620072,0.0,0.0,-3.7052726481080462,0.0,0.0,0.0,0.0,0.0,0.0,20.12103068076309,48.0
0.48,0.0,0.0,-1.0116902496485425,0.0,0.0,-3.7596453023260015,0.0,0.0,0.0,0.0,0.0,0.0,20.124978374662856,48.0
0.49,0.0,0.0,-1.0495539145705315,0.0,0.0,-3.8130794206285326,0.0,0.0,0.0,0.0,0.0,0.0,20.128968080115346,48.0
0.5,0.0,0.0,-1.0879472286930758,0.0,0.0,-3.8655751739831263,0.0,0.0,0.0,0.0,0.0,0.0,20.132999359309498,48.0
0.51,0.0,0.0,-1.1268608093732915,0.0,0.0,-3.9171327697101193,0.0,0.0,0.0,0.0,0.0,0.0,20.137071787843514,48.0
0.52,0.0,0.0,-1.1662852762203813,0.0,0.0,-3.9677524507911373,0.0,0.0,0.0,0.0,0.0,0.0,20.141184954054008,48.0
0.53,0.0,0.0,-1.206211251448785,0.0,0.0,-4.0174344951764365,0.0,0.0,0.0,0.0,0.0,0.0,20.145338458391215,48.0
0.54,0.0,0.0,-1.246629360224399,0.0,0.0,-4.066179215091318,0.0,0.0,0.0,0.0,0.0,0.0,20.149531912836284,48.0
0.55,0.0,0.0,-1.2875302310038543,0.0,0.0,-4.113986956341791,0.0,0.0,0.0,0.0,0.0,0.0,20.153764940357075,48.0
0.56,0.0,0.0,-1.328904495866851,0.0,0.0,-4.160858097619648,0.0,0.0,0.0,0.0,0.0,0.0,20.15803717439924,48.0
0.5700000000000001,0.0,0.0,-1.3707427908415382,0.0,0.0,-4.206793049807117,0.0,0.0,0.0,0.0,0.0,0.0,20.162348258409743,48.0
0.58,0.0,0.0,-1.4130357562229416,0.0,0.0,-4.251792255281262,0.0,0.0,0.0,0.0,0.0,0.0,20.166697845390118,48.0
0.59,0.0,0.0,-1.455774036884433,0.0,0.0,-4.295856187218269,0.0,0.0,0.0,0.0,0.0,0.0,20.171085597477234,48.0
0.6,0.0,0.0,-1.4989482825822427,0.0,0.0,-4.33898534889779,0.0,0.0,0.0,0.0,0.0,0.0,20.175511185549336,48.0
0.61,0.0,0.0,-1.5425491482530171,0.0,0.0,-4.3811802730074865,0.0,0.0,0.0,0.0,0.0,0.0,20.179974288855473,48.0
0.62,0.0,0.0,-1.5865672943044231,0.0,0.0,-4.422441520947919,0.0,0.0,0.0,0.0,0.0,0.0,20.18447459466657,48.0
0.63,0.0,0.0,-1.630993386898803,0.0,0.0,-4.462769682137925,0.0,0.0,0.0,0.0,0.0,0.0,20.189011797946506,48.0
0.64,0.0,0.0,-1.6758180982298865,0.0,0.0,-4.502165373320628,0.0,0.0,0.0,0.0,0.0,0.0,20.1935856010418,48.0
0.65,0.0,0.0,-1.7210321067925678,0.0,0.0,-4.540629237870214,0.0,0.0,0.0,0.0,0.0,0.0,20.198195713388504,48.0
0.66,0.0,0.0,-1.7666260976457528,0.0,0.0,-4.578161945099593,0.0,0.0,0.0,0.0,0.0,0.0,20.202841851235178,48.0
0.67,0.0,0.0,-1.8125907626682893,0.0,0.0,-4.6147641895690965,0.0,0.0,0.0,0.0,0.0,0.0,20.20752373738075,48.0
0.68,0.0,0.0,-1.8589168008079895,0.0,0.0,-4.650436690396317,0.0,0.0,0.0,0.0,0.0,0.0,20.212241100926313,48.0
0.6900000000000001,0.0,0.0,-1.9055949183237566,0.0,0.0,-4.68518019056722,0.0,0.0,0.0,0.0,0.0,0.0,20.216993677039866,48.0
0.7000000000000001,0.0,0.0,-1.9526158290208304,0.0,0.0,-4.718995456248638,0.0,0.0,0.0,0.0,0.0,0.0,20.2217812067332,48.0
0.71,0.0,0.0,-1.999970254479164,0.0,0.0,-4.751883276102268,0.0,0.0,0.0,0.0,0.0,0.0,20.226603436650073,48.0
0.72,0.0,0.0,-2.04764892427495,0.0,0.0,-4.783844460600277,0.0,0.0,0.0,0.0,0.0,0.0,20.231460118865,48.0
0.73,0.0,0.0,-2.095642576195309,0.0,0.0,-4.814879841342624,0.0,0.0,0.0,0.0,0.0,0.0,20.236351010691976,48.0
0.74,0.0,0.0,-2.1439419564461635,0.0,0.0,-4.844990270376197,0.0,0.0,0.0,0.0,0.0,0.0,20.241275874502467,48.0
0.75,0.0,0.0,-2.1925378198533085,0.0,0.0,-4.87417661951587,0.0,0.0,0.0,0.0,0.0,0.0,20.246234477552168,48.0
0.76,0.0,0.0,-2.2414209300567074,0.0,0.0,-4.902439779667572,0.0,0.0,0.0,0.0,0.0,0.0,20.251226591815932,48.0
0.77,0.0,0.0,-2.290582059698025,0.0,0.0,-4.929780660153456,0.0,0.0,0.0,0.0,0.0,0.0,20.256251993830407,48.0
0.78,0.0,0.0,-2.340011990601425,0.0,0.0,-4.956200188039269,0.0,0.0,0.0,0.0,0.0,0.0,20.261310464543946,48.0
0.79,0.0,0.0,-2.3897015139476525,0.0,0.0,-4.9816993074639875,0.0,0.0,0.0,0.0,0.0,0.0,20.266401789173322,48.0
0.8,0.0,0.0,-2.4396414304414242,0.0,0.0,-5.006278978971815,0.0,0.0,0.0,0.0,0.0,0.0,20.271525757066854,48.0
0.81,0.0,0.0,-2.489822550472151,0.0,0.0,-5.029940178846617,0.0,0.0,0.0,0.0,0.0,0.0,20.276682161573664,48.0
0.8200000000000001,0.0,0.0,-2.540235694268017,0.0,0.0,-5.0526838984488665,0.0,0.0,0.0,0.0,0.0,0.0,20.281870799918572,48.0
0.8300000000000001,0.0,0.0,-2.5908716920434403,0.0,0.0,-5.074511143555156,0.0,0.0,0.0,0.0,0.0,0.0,20.287091473082473,48.0
0.84,0.0,0.0,-2.641721384139944,0.0,0.0,-5.0954229337003785,0.0,0.0,0.0,0.0,0.0,0.0,20.292343985687776,48.0
0.85,0.0,0.0,-2.69277562116046,0.0,0.0,-5.115420301522594,0.0,0.0,0.0,0.0,0.0,0.0,20.297628145888687,48.0
0.86,0.0,0.0,-2.744025264097099,0.0,0.0,-5.134504292110688,0.0,0.0,0.0,0.0,0.0,0.0,20.30294376526608,48.0
0.87,0.0,0.0,-2.7954611844524058,0.0,0.0,-5.152675962354844,0.0,0.0,0.0,0.0,0.0,0.0,20.30829065872666,48.0
0.88,0.0,0.0,-2.8470742643541382,0.0,0.0,-5.169936380299904,0.0,0.0,0.0,0.0,0.0,0.0,20.313668644406288,48.0
0.89,0.0,0.0,-2.898855396663593,0.0,0.0,-5.186286624501657,0.0,0.0,0.0,0.0,0.0,0.0,20.31907754357714,48.0
0.9,0.0,0.0,-2.9507954850775073,0.0,0.0,-5.201727783386105,0.0,0.0,0.0,0.0,0.0,0.0,20.3245171805586,48.0
0.91,0.0,0.0,-3.0028854442235726,0.0,0.0,-5.2162609546117595,0.0,0.0,0.0,0.0,0.0,0.0,20.329987382631632,48.0
0.92,0.0,0.0,-3.055116199749581,0.0,0.0,-5.229887244434987,0.0,0.0,0.0,0.0,0.0,0.0,20.335487979956493,48.0
0.93,0.0,0.0,-3.1074786884062453,0.0,0.0,-5.242607767078466,0.0,0.0,0.0,0.0,0.0,0.0,20.341018805493626,48.0
0.9400000000000001,0.0,0.0,-3.1599638581237173,0.0,0.0,-5.254423644102774,0.0,0.0,0.0,0.0,0.0,0.0,20.346579694927524,48.0
0.9500000000000001,0.0,0.0,-3.212562668081837,0.0,0.0,-5.265336003781138,0.0,0.0,0.0,0.0,0.0,0.0,20.352170486593515,48.0
0.96,0.0,0.0,-3.265266088774147,0.0,0.0,-5.27534598047738,0.0,0.0,0.0,0.0,0.0,0.0,20.35779102140722,48.0
0.97,0.0,0.0,-3.318065102065701,0.0,0.0,-5.28445471402708,0.0,0.0,0.0,0.0,0.0,0.0,20.363441142796653,48.0
0.98,0.0,0.0,-3.370950701244701,0.0,0.0,-5.292663349121979,0.0,0.0,0.0,0.0,0.0,0.0,20.369120696636767,48.0
