time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,P_elec,Vt
0.99,0.0,0.0,-3.423913891067995,0.0,0.0,-5.299973034697639,0.0,0.0,0.0,0.0,0.0,0.0,20.374829531186375,48.0
1.0,0.0,0.0,-3.476945687800466,0.0,0.0,-5.3063849233243765,0.0,0.0,0.0,0.0,0.0,0.0,20.380567497027332,48.0
1.01,0.0,0.0,-3.5300371192483486,0.0,0.0,-5.311900170601488,0.0,0.0,0.0,0.0,0.0,0.0,20.386334447005847,48.0
1.02,0.0,0.0,-3.5831792247865035,0.0,0.0,-5.316519934554769,0.0,0.0,0.0,0.0,0.0,0.0,20.392130236175877,48.0
1.03,0.0,0.0,-3.6363630553796837,0.0,0.0,-5.320245375037335,0.0,0.0,0.0,0.0,0.0,0.0,20.397954721744455,48.0
1.04,0.0,0.0,-3.6895796735978266,0.0,0.0,-5.323077653133758,0.0,0.0,0.0,0.0,0.0,0.0,20.40380776301891,48.0
1.05,0.0,0.0,-3.7428201536254013,0.0,0.0,-5.325017930567504,0.0,0.0,0.0,0.0,0.0,0.0,20.40968922135589,48.0
1.06,0.0,0.0,-3.79607558126485,0.0,0.0,-5.326067369111687,0.0,0.0,0.0,0.0,0.0,0.0,20.41559896011207,48.0
1.07,0.0,0.0,-3.8493370539341516,0.0,0.0,-5.326227130003124,0.0,0.0,0.0,0.0,0.0,0.0,20.42153684459654,48.0
1.08,0.0,0.0,-3.9025964899290884,0.0,0.0,-5.325660192279639,0.0,0.0,0.0,0.0,0.0,0.0,20.426413883081302,48.0
1.09,0.0,0.0,-3.9558473536506145,0.0,0.0,-5.324512801515414,0.0,0.0,0.0,0.0,0.0,0.0,20.430328955958768,48.0
1.1,0.0,0.0,-4.009084425670497,0.0,0.0,-5.322901952635021,0.0,0.0,0.0,0.0,0.0,0.0,20.433469590572162,48.0
1.11,0.0,0.0,-4.062303539480968,0.0,0.0,-5.320921239890765,0.0,0.0,0.0,0.0,0.0,0.0,20.435987573584008,48.0
1.12,0.0,0.0,-4.115501370893309,0.0,0.0,-5.318645536915771,0.0,0.0,0.0,0.0,0.0,0.0,20.438005457323918,48.0
1.1300000000000001,0.0,0.0,-4.168675269556128,0.0,0.0,-5.316134740809075,0.0,0.0,0.0,0.0,0.0,0.0,20.439621999106024,48.0
1.1400000000000001,0.0,0.0,-4.22182312416974,0.0,0.0,-5.3134367674286365,0.0,0.0,0.0,0.0,0.0,0.0,20.440916661012373,48.0
1.1500000000000001,0.0,0.0,-4.274943254657603,0.0,0.0,-5.310589947639798,0.0,0.0,0.0,0.0,0.0,0.0,20.44195330385423,48.0
1.16,0.0,0.0,-4.3280343259035154,0.0,0.0,-5.307624944321561,0.0,0.0,0.0,0.0,0.0,0.0,20.442783202185367,48.0
1.17,0.0,0.0,-4.381095278741469,0.0,0.0,-5.304566285975196,0.0,0.0,0.0,0.0,0.0,0.0,20.443447494409558,48.0
1.18,0.0,0.0,-4.434125274747654,0.0,0.0,-5.301433593612466,0.0,0.0,0.0,0.0,0.0,0.0,20.443979167145407,48.0
1.19,0.0,0.0,-4.487123652074191,0.0,0.0,-5.298242562266292,0.0,0.0,0.0,0.0,0.0,0.0,20.444404658204146,48.0
1.2,0.0,0.0,-4.540089890116241,0.0,0.0,-5.29500574619872,0.0,0.0,0.0,0.0,0.0,0.0,20.444745148856224,48.0
1.21,0.0,0.0,-4.593023581245815,0.0,0.0,-5.291733187066442,0.0,0.0,0.0,0.0,0.0,0.0,20.44501760395689,48.0
1.22,0.0,0.0,-4.645924408198922,0.0,0.0,-5.288432916452269,0.0,0.0,0.0,0.0,0.0,0.0,20.44523560807968,48.0
1.23,0.0,0.0,-4.698792125985397,0.0,0.0,-5.285111357889392,0.0,0.0,0.0,0.0,0.0,0.0,20.445410037000702,48.0
1.24,0.0,0.0,-4.751626547416847,0.0,0.0,-5.281773648479943,0.0,0.0,0.0,0.0,0.0,0.0,20.445549596533926,48.0
1.25,0.0,0.0,-4.804427531529091,0.0,0.0,-5.278423896189108,0.0,0.0,0.0,0.0,0.0,0.0,20.445661254653093,48.0
1.26,0.0,0.0,-4.857194974320193,0.0,0.0,-5.275065385679765,0.0,0.0,0.0,0.0,0.0,0.0,20.44575058786311,48.0
1.27,0.0,0.0,-4.909928801340951,0.0,0.0,-5.271700742979666,0.0,0.0,0.0,0.0,0.0,0.0,20.445822058728233,48.0
1.28,0.0,0.0,-4.962628961767356,0.0,0.0,-5.26833206721472,0.0,0.0,0.0,0.0,0.0,0.0,20.44587923817033,48.0
1.29,0.0,0.0,-5.015295423658625,0.0,0.0,-5.2649610359952455,0.0,0.0,0.0,0.0,0.0,0.0,20.445924983483934,48.0
1.3,0.0,0.0,-5.067928170163673,0.0,0.0,-5.261588989724662,0.0,0.0,0.0,0.0,0.0,0.0,20.445961580861123,48.0
1.31,0.0,0.0,-5.120527196486356,0.0,0.0,-5.25821699904619,0.0,0.0,0.0,0.0,0.0,0.0,20.445990859483697,48.0
1.32,0.0,0.0,-5.1730925074577145,0.0,0.0,-5.254845918799996,0.0,0.0,0.0,0.0,0.0,0.0,20.44601428284307,48.0
1.33,0.0,0.0,-5.2256241155938135,0.0,0.0,-5.251476431188742,0.0,0.0,0.0,0.0,0.0,0.0,20.446033021825805,48.0
1.34,0.0,0.0,-5.27812203954207,0.0,0.0,-5.248109080309879,0.0,0.0,0.0,0.0,0.0,0.0,20.44604801320094,48.0
1.35,0.0,0.0,-5.330586302838356,0.0,0.0,-5.244744299781368,0.0,0.0,0.0,0.0,0.0,0.0,20.446060006421977,48.0
1.36,0.0,0.0,-5.383016932912736,0.0,0.0,-5.241382434842155,0.0,0.0,0.0,0.0,0.0,0.0,20.446069601076193,48.0
1.37,0.0,0.0,-5.43541396029409,0.0,0.0,-5.238023760032482,0.0,0.0,0.0,0.0,0.0,0.0,20.4460772768491,48.0
1.3800000000000001,0.0,0.0,-5.487777417973869,0.0,0.0,-5.234668493338058,0.0,0.0,0.0,0.0,0.0,0.0,20.44608341749912,48.0
1.3900000000000001,0.0,0.0,-5.540107340897136,0.0,0.0,-5.231316807505342,0.0,0.0,0.0,0.0,0.0,0.0,20.44608833003943,48.0
1.4000000000000001,0.0,0.0,-5.592403765555442,0.0,0.0,-5.2279688390937284,0.0,0.0,0.0,0.0,0.0,0.0,20.446092260084658,48.0
1.41,0.0,0.0,-5.644666729661177,0.0,0.0,-5.224624695717247,0.0,0.0,0.0,0.0,0.0,0.0,20.44609540412915,48.0
1.42,0.0,0.0,-5.696896271887083,0.0,0.0,-5.221284461837889,0.0,0.0,0.0,0.0,0.0,0.0,20.446097919370064,48.0
1.43,0.0,0.0,-5.7490924316579175,0.0,0.0,-5.217948203400241,0.0,0.0,0.0,0.0,0.0,0.0,20.446099931566195,48.0
1.44,0.0,0.0,-5.801255248983818,0.0,0.0,-5.214615971539164,0.0,0.0,0.0,0.0,0.0,0.0,20.44610154132528,48.0
1.45,0.0,0.0,-5.853384764327039,0.0,0.0,-5.211287805545905,0.0,0.0,0.0,0.0,0.0,0.0,20.446102829133945,48.0
1.46,0.0,0.0,-5.905481018495386,0.0,0.0,-5.207963735240975,0.0,0.0,0.0,0.0,0.0,0.0,20.446103859381765,48.0
1.47,0.0,0.0,-5.9575440525569965,0.0,0.0,-5.204643782872424,0.0,0.0,0.0,0.0,0.0,0.0,20.446104683580593,48.0
1.48,0.0,0.0,-6.009573907772215,0.0,0.0,-5.201327964634443,0.0,0.0,0.0,0.0,0.0,0.0,20.446105342940022,48.0
1.49,0.0,0.0,-6.061570625539128,0.0,0.0,-5.198016291882231,0.0,0.0,0.0,0.0,0.0,0.0,20.4461058704278,48.0
1.5,0.0,0.0,-6.113534247350031,0.0,0.0,-5.194708772103873,0.0,0.0,0.0,0.0,0.0,0.0,20.446106292418172,48.0
1.51,0.0,0.0,-6.1654648147566515,0.0,0.0,-5.191405409697816,0.0,0.0,0.0,0.0,0.0,0.0,20.446106630010565,48.0
1.52,0.0,0.0,-6.217362369342361,0.0,0.0,-5.18810620659485,0.0,0.0,0.0,0.0,0.0,0.0,20.446106900084537,48.0
1.53,0.0,0.0,-6.269226952699984,0.0,0.0,-5.184811162755668,0.0,0.0,0.0,0.0,0.0,0.0,20.446107116143757,48.0
1.54,0.0,0.0,-6.321058606414094,0.0,0.0,-5.181520276568903,0.0,0.0,0.0,0.0,0.0,0.0,20.446107288991158,48.0
1.55,0.0,0.0,-6.372857372046876,0.0,0.0,-5.178233545169539,0.0,0.0,0.0,0.0,0.0,0.0,20.446107427269094,48.0
1.56,0.0,0.0,-6.424623291126872,0.0,0.0,-5.17495096469364,0.0,0.0,0.0,0.0,0.0,0.0,20.446107537891454,48.0
1.57,0.0,0.0,-6.47635640514001,0.0,0.0,-5.171672530482097,0.0,0.0,0.0,0.0,0.0,0.0,20.44610762638935,48.0
1.58,0.0,0.0,-6.528056755522462,0.0,0.0,-5.16839823724364,0.0,0.0,0.0,0.0,0.0,0.0,20.44610769718767,48.0
1.59,0.0,0.0,-6.579724383654979,0.0,0.0,-5.165128079185206,0.0,0.0,0.0,0.0,0.0,0.0,20.44610775382633,48.0
1.6,0.0,0.0,-6.631359330858393,0.0,0.0,-5.161862050116248,0.0,0.0,0.0,0.0,0.0,0.0,20.446107799137256,48.0
1.61,0.0,0.0,-6.682961638390062,0.0,0.0,-5.158600143532147,0.0,0.0,0.0,0.0,0.0,0.0,20.446107835385998,48.0
1.62,0.0,0.0,-6.7345313474410595,0.0,0.0,-5.155342352680942,0.0,0.0,0.0,0.0,0.0,0.0,20.446107864384995,48.0
1.6300000000000001,0.0,0.0,-6.786068499133968,0.0,0.0,-5.152088670616698,0.0,0.0,0.0,0.0,0.0,0.0,20.446107887584194,48.0
1.6400000000000001,0.0,0.0,-6.837573134521156,0.0,0.0,-5.148839090242187,0.0,0.0,0.0,0.0,0.0,0.0,20.44610790614355,48.0
1.6500000000000001,0.0,0.0,-6.889045294583433,0.0,0.0,-5.145593604343021,0.0,0.0,0.0,0.0,0.0,0.0,20.446107920991036,48.0
1.6600000000000001,0.0,0.0,-6.940485020229015,0.0,0.0,-5.142352205614947,0.0,0.0,0.0,0.0,0.0,0.0,20.446107932869026,48.0
1.67,0.0,0.0,-6.991892352292736,0.0,0.0,-5.13911488668567,0.0,0.0,0.0,0.0,0.0,0.0,20.44610794237142,48.0
1.68,0.0,0.0,-7.043267331535454,0.0,0.0,-5.1358816401322995,0.0,0.0,0.0,0.0,0.0,0.0,20.44610794997333,48.0
1.69,0.0,0.0,-7.094609998643615,0.0,0.0,-5.132652458495294,0.0,0.0,0.0,0.0,0.0,0.0,20.446107956054863,48.0
1.7,0.0,0.0,-7.14592039422894,0.0,0.0,-5.129427334289606,0.0,0.0,0.0,0.0,0.0,0.0,20.446107960920088,48.0
1.71,0.0,0.0,-7.1971985588282195,0.0,0.0,-5.126206260013585,0.0,0.0,0.0,0.0,0.0,0.0,20.446107964812267,48.0
1.72,0.0,0.0,-7.248444532903177,0.0,0.0,-5.122989228156086,0.0,0.0,0.0,0.0,0.0,0.0,20.44610796792601,48.0
1.73,0.0,0.0,-7.299658356840408,0.0,0.0,-5.11977623120215,0.0,0.0,0.0,0.0,0.0,0.0,20.446107970417007,48.0
1.74,0.0,0.0,-7.350840070951361,0.0,0.0,-5.11656726163753,0.0,0.0,0.0,0.0,0.0,0.0,20.446107972409802,48.0
1.75,0.0,0.0,-7.4019897154723635,0.0,0.0,-5.113362311952307,0.0,0.0,0.0,0.0,0.0,0.0,20.44610797400404,48.0
1.76,0.0,0.0,-7.453107330564681,0.0,0.0,-5.110161374643762,0.0,0.0,0.0,0.0,0.0,0.0,20.44610797527943,48.0
1.77,0.0,0.0,-7.504192956314598,0.0,0.0,-5.106964442218671,0.0,0.0,0.0,0.0,0.0,0.0,20.44610797629974,48.0
1.78,0.0,0.0,-7.555246632733524,0.0,0.0,-5.103771507195125,0.0,0.0,0.0,0.0,0.0,0.0,20.44610797711599,48.0
1.79,0.0,0.0,-7.606268399758112,0.0,0.0,-5.100582562103972,0.0,0.0,0.0,0.0,0.0,0.0,20.44610797776899,48.0
1.8,0.0,0.0,-7.6572582972503955,0.0,0.0,-5.097397599489967,0.0,0.0,0.0,0.0,0.0,0.0,20.446107978291387,48.0
1.81,0.0,0.0,-7.708216364997928,0.0,0.0,-5.09421661191267,0.0,0.0,0.0,0.0,0.0,0.0,20.446107978709307,48.0
1.82,0.0,0.0,-7.759142642713937,0.0,0.0,-5.091039591947162,0.0,0.0,0.0,0.0,0.0,0.0,20.446107979043642,48.0
1.83,0.0,0.0,-7.8100371700374795,0.0,0.0,-5.087866532184601,0.0,0.0,0.0,0.0,0.0,0.0,20.446107979311112,48.0
1.84,0.0,0.0,-7.860899986533608,0.0,0.0,-5.084697425232659,0.0,0.0,0.0,0.0,0.0,0.0,20.446107979525085,48.0
1.85,0.0,0.0,-7.9117311316935375,0.0,0.0,-5.0815322637158555,0.0,0.0,0.0,0.0,0.0,0.0,20.446107979696265,48.0
1.86,0.0,0.0,-7.962530644934811,0.0,0.0,-5.078371040275818,0.0,0.0,0.0,0.0,0.0,0.0,20.446107979833208,48.0
1.87,0.0,0.0,-8.013298565601476,0.0,0.0,-5.075213747571477,0.0,0.0,0.0,0.0,0.0,0.0,20.446107979942763,48.0
1.8800000000000001,0.0,0.0,-8.064034932964256,0.0,0.0,-5.072060378279211,0.0,0.0,0.0,0.0,0.0,0.0,20.44610798003041,48.0
1.8900000000000001,0.0,0.0,-8.114739786220728,0.0,0.0,-5.06891092509295,0.0,0.0,0.0,0.0,0.0,0.0,20.446107980100525,48.0
1.9000000000000001,0.0,0.0,-8.165413164495492,0.0,0.0,-5.065765380724248,0.0,0.0,0.0,0.0,0.0,0.0,20.446107980156615,48.0
1.9100000000000001,0.0,0.0,-8.216055106840356,0.0,0.0,-5.062623737902334,0.0,0.0,0.0,0.0,0.0,0.0,20.44610798020149,48.0
1.92,0.0,0.0,-8.266665652234506,0.0,0.0,-5.059485989374133,0.0,0.0,0.0,0.0,0.0,0.0,20.44610798023739,48.0
1.93,0.0,0.0,-8.317244839584689,0.0,0.0,-5.0563521279042805,0.0,0.0,0.0,0.0,0.0,0.0,20.44610798026611,48.0
1.94,0.0,0.0,-8.367792707725384,0.0,0.0,-5.053222146275117,0.0,0.0,0.0,0.0,0.0,0.0,20.446107980289085,48.0
1.95,0.0,0.0,-8.418309295418984,0.0,0.0,-5.0500960372866786,0.0,0.0,0.0,0.0,0.0,0.0,20.446107980307463,48.0
1.96,0.0,0.0,-8.468794641355972,0.0,0.0,-5.046973793756671,0.0,0.0,0.0,0.0,0.0,0.0,20.446107980322168,48.0
1.97,0.0,0.0,-8.519248784155092,0.0,0.0,-5.043855408520446,0.0,0.0,0.0,0.0,0.0,0.0,20.44610798033393,48.0
1.98,0.0,0.0,-8.569671762363532,0.0,0.0,-5.040740874430963,0.0,0.0,0.0,0.0,0.0,0.0,20.446107980343342,48.0
1.99,0.0,0.0,-8.620063614457097,0.0,0.0,-5.037630184358757,0.0,0.0,0.0,0.0,0.0,0.0,20.44610798035087,48.0
